,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_t[2025-09-08],0.011345,0.008082,1055.854204,1455.017941,1.006006
mu_t[2025-09-15],0.011326,0.008063,1048.216749,1501.400835,1.005874
mu_t[2025-09-22],0.011354,0.008084,1122.474521,1591.096169,1.005261
mu_t[2025-09-29],0.01143,0.008143,1272.610295,1925.510924,1.004379
mu_t[2025-10-06],0.011549,0.00824,1492.883935,2321.597642,1.003485
mu_t[2025-10-13],0.011708,0.008365,1777.169592,2691.069562,1.002692
mu_t[2025-10-20],0.011892,0.008515,2117.334106,3185.331035,1.002063
mu_t[2025-10-27],0.012112,0.00869,2498.007644,3649.624607,1.001574
mu_t[2025-11-03],0.012366,0.008894,2908.270465,3897.611387,1.0012
mu_t[2025-11-10],0.012592,0.009102,3371.180384,4156.215134,1.000899
mu_t[2025-11-17],0.012843,0.009322,3856.173204,4395.574754,1.000673
mu_t[2025-11-24],0.013091,0.009569,4369.433158,4570.890325,1.0005
mu_t[2025-12-01],0.013325,0.009828,4914.019619,4667.052249,1.000444
mu_t[2025-12-08],0.013571,0.010097,5474.649782,4877.350012,1.000532
mu_t[2025-12-15],0.013836,0.010385,6032.773442,4956.809302,1.000524
mu_t[2025-12-22],0.014323,0.010639,6402.202775,4979.613902,1.000648
roi_m[Search],0.010504,0.007596,1992.083657,2239.746868,1.002874
roi_m[Social],0.005372,0.003829,2548.907878,3565.085221,1.000892
roi_m[Video],0.003791,0.002726,3029.79911,3295.573377,1.001226
sigma,0.000108,7.7e-05,9802.21399,6191.670429,1.000314
tau_g[Region 1],0.006009,0.00425,2708.816859,4610.464852,1.000861
tau_g[Region 2],0.005674,0.004013,2702.398776,4617.128437,1.001263
tau_g[Region 3],0.00512,0.003621,2748.035351,4237.0817,1.000608
xi_c[demand],0.00181,0.00128,2272.895924,1944.173299,1.001565
xi_c[price],0.001403,0.000992,2672.584022,2836.820372,1.002392
